Faculté des sciences de l'éducation - Direction,Ahlem Ammar,Vice-doyenne,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in19138/
Faculté de médecine - Département de pédiatrie,Devendra Amre,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14260/
Faculté de médecine - Département de psychiatrie et d’addictologie,Arthur Antoine Amyot,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in13902/
Faculté des arts et des sciences - Département de sciences biologiques,Marc Amyot,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14694/
Faculté de médecine - Département de pharmacologie et physiologie,Madhu Anand-Srivastava,Professeure,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14531/
"Faculté de médecine - Département de microbiologie, infectiologie et immunologie",Petronela Ancuta,Professeure,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in15163/
Faculté de médecine - Département de pédiatrie,Gregor Andelfinger,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in15164/
Faculté des arts et des sciences - Département de sciences biologiques,Annie Angers,Professeure,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14738/
Faculté des arts et des sciences - Département de sciences biologiques,Bernard Angers,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14261/
Faculté des arts et des sciences - Département de mathématiques et de statistique,Jean-François Angers,Professeur,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in14262/
Faculté de médecine - École d'orthophonie et d'audiologie,Ana Ines Ansaldo,Professeure,https://recherche.umontreal.ca/nos-chercheurs/repertoire-des-professeurs/professeur/is/in17580/
